team,year,opponent,date,outcome,score,score_for,score_against,score_diff,total_points,win,margin_type,win_flag
california-lutheran,2019,la-verne,2019-02-16 12:00:00,L,4-11,4.0,11.0,-7.0,15.0,False,blowout,0
california-lutheran,2019,la-verne,2019-02-16 14:00:00,L,4-6,4.0,6.0,-2.0,10.0,False,close,0
california-lutheran,2019,claremont-mudd-scripps,2019-02-23 12:00:00,L,6-9,6.0,9.0,-3.0,15.0,False,moderate,0
california-lutheran,2019,claremont-mudd-scripps,2019-02-23 14:00:00,L,0-10,0.0,10.0,-10.0,10.0,False,blowout,0
california-lutheran,2019,hiram,2019-03-04 12:00:00,W,5-1,5.0,1.0,4.0,6.0,True,moderate,1
california-lutheran,2019,hiram,2019-03-04 14:00:00,W,16-10,16.0,10.0,6.0,26.0,True,blowout,1
california-lutheran,2019,whittier,2019-03-09 12:00:00,L,7-12,7.0,12.0,-5.0,19.0,False,blowout,0
california-lutheran,2019,whittier,2019-03-09 14:00:00,W,7-6,7.0,6.0,1.0,13.0,True,close,1
california-lutheran,2019,manhattanville,2019-03-10 12:00:00,L,3-7,3.0,7.0,-4.0,10.0,False,moderate,0
california-lutheran,2019,manhattanville,2019-03-10 14:00:00,L,7-12,7.0,12.0,-5.0,19.0,False,blowout,0
california-lutheran,2019,alfred,2019-03-12 12:00:00,W,2-1,2.0,1.0,1.0,3.0,True,close,1
california-lutheran,2019,alfred,2019-03-12 14:00:00,W,6-5,6.0,5.0,1.0,11.0,True,close,1
california-lutheran,2019,redlands,2019-03-16 12:00:00,L,3-11,3.0,11.0,-8.0,14.0,False,blowout,0
california-lutheran,2019,redlands,2019-03-16 14:00:00,L,1-4,1.0,4.0,-3.0,5.0,False,moderate,0
california-lutheran,2019,cortland,2019-03-17 12:00:00,W,6-2,6.0,2.0,4.0,8.0,True,moderate,1
california-lutheran,2019,cortland,2019-03-17 14:00:00,L,1-6,1.0,6.0,-5.0,7.0,False,blowout,0
california-lutheran,2019,williams,2019-03-19 13:00:00,L,5-6,5.0,6.0,-1.0,11.0,False,close,0
california-lutheran,2019,williams,2019-03-19 15:00:00,W,3-1,3.0,1.0,2.0,4.0,True,close,1
california-lutheran,2019,denison,2019-03-22 13:00:00,L,4-6,4.0,6.0,-2.0,10.0,False,close,0
california-lutheran,2019,denison,2019-03-22 15:00:00,L,4-11,4.0,11.0,-7.0,15.0,False,blowout,0
california-lutheran,2019,occidental,2019-03-23 12:00:00,L,3-11,3.0,11.0,-8.0,14.0,False,blowout,0
california-lutheran,2019,occidental,2019-03-23 14:00:00,W,5-4,5.0,4.0,1.0,9.0,True,close,1
california-lutheran,2019,pomona-pitzer,2019-03-29 12:00:00,L,0-8,0.0,8.0,-8.0,8.0,False,blowout,0
california-lutheran,2019,pomona-pitzer,2019-03-29 14:00:00,L,5-14,5.0,14.0,-9.0,19.0,False,blowout,0
california-lutheran,2019,la-verne,2019-03-30 12:00:00,L,2-3,2.0,3.0,-1.0,5.0,False,close,0
california-lutheran,2019,la-verne,2019-03-30 14:00:00,L,0-13,0.0,13.0,-13.0,13.0,False,blowout,0
california-lutheran,2019,chapman,2019-04-03 14:00:00,L,1-9,1.0,9.0,-8.0,10.0,False,blowout,0
california-lutheran,2019,chapman,2019-04-03 16:00:00,L,10-11,10.0,11.0,-1.0,21.0,False,close,0
california-lutheran,2019,claremont-mudd-scripps,2019-04-06 12:00:00,L,2-17,2.0,17.0,-15.0,19.0,False,blowout,0
california-lutheran,2019,claremont-mudd-scripps,2019-04-06 14:00:00,L,3-4,3.0,4.0,-1.0,7.0,False,close,0
california-lutheran,2019,chapman,2019-04-12 14:00:00,L,11-15,11.0,15.0,-4.0,26.0,False,moderate,0
california-lutheran,2019,chapman,2019-04-12 16:00:00,L,3-14,3.0,14.0,-11.0,17.0,False,blowout,0
california-lutheran,2019,whittier,2019-04-13 12:00:00,L,10-11,10.0,11.0,-1.0,21.0,False,close,0
california-lutheran,2019,whittier,2019-04-13 14:00:00,L,2-11,2.0,11.0,-9.0,13.0,False,blowout,0
california-lutheran,2019,redlands,2019-04-20 12:00:00,L,7-10,7.0,10.0,-3.0,17.0,False,moderate,0
california-lutheran,2019,redlands,2019-04-20 14:00:00,W,13-11,13.0,11.0,2.0,24.0,True,close,1
california-lutheran,2019,pomona-pitzer,2019-04-26 14:00:00,L,1-11,1.0,11.0,-10.0,12.0,False,blowout,0
california-lutheran,2019,pomona-pitzer,2019-04-26 16:00:00,W,7-6,7.0,6.0,1.0,13.0,True,close,1
california-lutheran,2019,occidental,2019-04-27 12:00:00,W,7-0,7.0,0.0,7.0,7.0,True,blowout,1
california-lutheran,2019,occidental,2019-04-27 14:00:00,W,10-9,10.0,9.0,1.0,19.0,True,close,1
california-lutheran,2020,of antelope valley,2020-01-28 12:00:00,L,3-4,3.0,4.0,-1.0,7.0,False,close,0
california-lutheran,2020,of antelope valley,2020-01-28 14:00:00,W,7-4,7.0,4.0,3.0,11.0,True,moderate,1
california-lutheran,2020,of antelope valley,2020-02-05 12:00:00,W,9-5,9.0,5.0,4.0,14.0,True,moderate,1
california-lutheran,2020,of antelope valley,2020-02-05 14:00:00,L,2-10,2.0,10.0,-8.0,12.0,False,blowout,0
california-lutheran,2020,pacific lutheran,2020-02-17 11:00:00,W,6-5,6.0,5.0,1.0,11.0,True,close,1
california-lutheran,2020,pacific lutheran,2020-02-17 13:00:00,L,6-10,6.0,10.0,-4.0,16.0,False,moderate,0
california-lutheran,2020,pomona-pitzer,2020-02-28 13:00:00,L,6-18,6.0,18.0,-12.0,24.0,False,blowout,0
california-lutheran,2020,pomona-pitzer,2020-02-29 12:00:00,W,5-3,5.0,3.0,2.0,8.0,True,close,1
california-lutheran,2020,pomona-pitzer,2020-02-29 14:00:00,L,4-14,4.0,14.0,-10.0,18.0,False,blowout,0
california-lutheran,2020,la-verne,2020-03-06 14:00:00,W,4-1,4.0,1.0,3.0,5.0,True,moderate,1
california-lutheran,2020,la-verne,2020-03-07 12:00:00,L,0-8,0.0,8.0,-8.0,8.0,False,blowout,0
california-lutheran,2020,la-verne,2020-03-07 14:00:00,L,3-11,3.0,11.0,-8.0,14.0,False,blowout,0
california-lutheran,2020,willamette,2020-03-21 12:00:00,,,,,,,False,,0
california-lutheran,2020,willamette,,,,,,,,False,,0
